"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"10601","WHITE PLAINS, NY",,"G",27554,"G",427729,"G",1474915,1473,"WHITE PLAINS","NY","WESTCHESTER"
"10602","WHITE PLAINS, NY","C","S",0,"S",0,"S",0,7,"WHITE PLAINS","NY","WESTCHESTER"
"10603","WHITE PLAINS, NY",,"G",5718,"G",80697,"G",333048,555,"WHITE PLAINS","NY","WESTCHESTER"
"10604","WEST HARRISON, NY",,"G",11773,"G",379912,"G",1307856,641,"WEST HARRISON","NY","WESTCHESTER"
"10605","WHITE PLAINS, NY",,"H",9250,"H",125912,"H",517786,692,"WHITE PLAINS","NY","WESTCHESTER"
"10606","WHITE PLAINS, NY",,"G",5357,"G",104435,"G",417904,460,"WHITE PLAINS","NY","WESTCHESTER"
"10607","WHITE PLAINS, NY",,"G",2950,"G",27628,"G",119310,289,"WHITE PLAINS","NY","WESTCHESTER"
"10610","WHITE PLAINS, NY",,"J",66,"H",175,"H",756,6,"WHITE PLAINS","NY","WESTCHESTER"
"10701","YONKERS, NY",,"G",17682,"G",221908,"G",925166,1151,"YONKERS","NY","WESTCHESTER"
"10702","YONKERS, NY","E","S",0,"S",0,"S",0,8,"YONKERS","NY","WESTCHESTER"
"10703","YONKERS, NY",,"H",4758,"G",69765,"G",281631,288,"YONKERS","NY","WESTCHESTER"
"10704","YONKERS, NY",,"G",12691,"G",114408,"G",499891,1061,"YONKERS","NY","WESTCHESTER"
"10705","YONKERS, NY",,"G",4304,"G",39819,"G",171671,576,"YONKERS","NY","WESTCHESTER"
"10706","HASTINGS ON HUDSON, NY",,"G",1900,"G",17511,"G",77987,253,"HASTINGS ON HUDSON","NY","WESTCHESTER"
"10707","TUCKAHOE, NY",,"H",1935,"G",21788,"H",93900,269,"TUCKAHOE","NY","WESTCHESTER"
"10708","BRONXVILLE, NY",,"G",6020,"H",64991,"H",287937,631,"BRONXVILLE","NY","WESTCHESTER"
"10709","EASTCHESTER, NY",,"G",2254,"G",18592,"G",88478,308,"EASTCHESTER","NY","WESTCHESTER"
"10710","YONKERS, NY",,"G",10428,"G",94096,"G",398402,814,"YONKERS","NY","WESTCHESTER"
"10801","NEW ROCHELLE, NY",,"G",15680,"G",173479,"G",738180,1462,"NEW ROCHELLE","NY","WESTCHESTER"
"10802","NEW ROCHELLE, NY","B","S",0,"S",0,"S",0,6,"NEW ROCHELLE","NY","WESTCHESTER"
"10803","PELHAM, NY",,"G",5152,"G",54448,"G",234763,475,"PELHAM","NY","WESTCHESTER"
"10804","NEW ROCHELLE, NY",,"G",2154,"G",20557,"G",90788,360,"NEW ROCHELLE","NY","WESTCHESTER"
"10805","NEW ROCHELLE, NY",,"G",3484,"G",30091,"G",127471,293,"NEW ROCHELLE","NY","WESTCHESTER"
"10901","SUFFERN, NY",,"G",10405,"G",148686,"G",625963,797,"SUFFERN","NY","ROCKLAND"
"10910","ARDEN, NY",,"G",2,"J",20,"H",90,3,"ARDEN","NY","ORANGE"
"10911","BEAR MOUNTAIN, NY",,"J",154,"H",596,"H",3005,21,"BEAR MOUNTAIN","NY","ROCKLAND"
"10912","BELLVALE, NY",,"J",15,"H",126,"H",307,4,"BELLVALE","NY","ORANGE"
"10913","BLAUVELT, NY",,"G",2306,"G",25775,"G",110988,179,"BLAUVELT","NY","ROCKLAND"
"10914","BLOOMING GROVE, NY",,"J",113,"H",427,"H",2581,20,"BLOOMING GROVE","NY","ORANGE"
"10915","BULLVILLE, NY",,"G",144,"G",1217,"G",5914,27,"BULLVILLE","NY","ORANGE"
"10916","CAMPBELL HALL, NY",,"G",836,"H",7066,"H",32116,90,"CAMPBELL HALL","NY","ORANGE"
"10917","CENTRAL VALLEY, NY",,"G",5970,"G",34454,"G",146257,313,"CENTRAL VALLEY","NY","ORANGE"
"10918","CHESTER, NY",,"G",5351,"G",60795,"G",235185,301,"CHESTER","NY","ORANGE"
"10919","CIRCLEVILLE, NY",,"J",210,"H",981,"H",4511,32,"CIRCLEVILLE","NY","ORANGE"
"10920","CONGERS, NY",,"G",3983,"G",45816,"G",195599,266,"CONGERS","NY","ROCKLAND"
"10921","FLORIDA, NY",,"G",1488,"G",14606,"G",63970,152,"FLORIDA","NY","ORANGE"
"10922","FORT MONTGOMERY, NY",,"H",116,"G",850,"G",3799,33,"FORT MONTGOMERY","NY","ORANGE"
"10923","GARNERVILLE, NY",,"H",992,"H",8032,"H",34441,162,"GARNERVILLE","NY","ROCKLAND"
"10924","GOSHEN, NY",,"G",5342,"G",52599,"G",232330,483,"GOSHEN","NY","ORANGE"
"10925","GREENWOOD LAKE, NY",,"G",397,"H",3151,"G",15024,94,"GREENWOOD LAKE","NY","ORANGE"
"10926","HARRIMAN, NY",,"G",816,"H",9490,"G",43797,85,"HARRIMAN","NY","ORANGE"
"10927","HAVERSTRAW, NY",,"G",1540,"G",11368,"G",47331,201,"HAVERSTRAW","NY","ROCKLAND"
"10928","HIGHLAND FALLS, NY",,"G",409,"G",2556,"G",12024,77,"HIGHLAND FALLS","NY","ORANGE"
"10930","HIGHLAND MILLS, NY",,"G",557,"G",4130,"G",19484,116,"HIGHLAND MILLS","NY","ORANGE"
"10931","HILLBURN, NY",,"H",695,"G",5861,"G",23949,40,"HILLBURN","NY","ROCKLAND"
"10933","JOHNSON, NY",,"H",24,"G",121,"G",561,5,"JOHNSON","NY","ORANGE"
"10940","MIDDLETOWN, NY",,"G",19228,"H",183344,"H",761671,1193,"MIDDLETOWN","NY","ORANGE"
"10941","MIDDLETOWN, NY",,"G",9635,"G",116840,"G",467766,401,"MIDDLETOWN","NY","ORANGE"
"10949","MONROE, NY",,"J",11,"H",58,"G",335,4,"MONROE","NY","ORANGE"
"10950","MONROE, NY",,"G",12087,"G",86279,"G",373693,1349,"MONROE","NY","ORANGE"
"10952","MONSEY, NY",,"G",11197,"G",83842,"G",365029,1500,"MONSEY","NY","ROCKLAND"
"10953","MOUNTAINVILLE, NY",,"H",308,"H",4068,"H",16871,21,"MOUNTAINVILLE","NY","ORANGE"
"10954","NANUET, NY",,"G",12527,"G",119579,"G",503237,952,"NANUET","NY","ROCKLAND"
"10956","NEW CITY, NY",,"G",8074,"G",73715,"G",312570,1116,"NEW CITY","NY","ROCKLAND"
"10958","NEW HAMPTON, NY",,"G",2013,"H",67393,"G",127060,75,"NEW HAMPTON","NY","ORANGE"
"10960","NYACK, NY",,"H",6106,"H",65778,"H",286082,582,"NYACK","NY","ROCKLAND"
"10962","ORANGEBURG, NY",,"H",9408,"H",166051,"H",602754,244,"ORANGEBURG","NY","ROCKLAND"
"10963","OTISVILLE, NY",,"H",163,"H",1180,"H",6079,36,"OTISVILLE","NY","ORANGE"
"10964","PALISADES, NY",,"H",424,"H",4824,"H",24397,45,"PALISADES","NY","ROCKLAND"
"10965","PEARL RIVER, NY",,"G",6744,"H",169022,"H",552019,502,"PEARL RIVER","NY","ROCKLAND"
"10968","PIERMONT, NY",,"G",291,"G",1720,"G",8877,72,"PIERMONT","NY","ROCKLAND"
"10969","PINE ISLAND, NY",,"H",231,"H",2036,"G",8320,46,"PINE ISLAND","NY","ORANGE"
"10970","POMONA, NY",,"G",3097,"G",36341,"G",146249,312,"POMONA","NY","ROCKLAND"
"10973","SLATE HILL, NY",,"G",324,"G",2588,"G",13570,56,"SLATE HILL","NY","ORANGE"
