PopRank,City,State,city_pop_2013,Pop2010,city_pop_chg_pcnt,ChangePercent,SqMi,city_pop_sqmi,city_longitude,city_latitude,Zip,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,state_name
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10118.0,40.748998,-73.986467,-5.0,1.0,"40.748998,-73.986467",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10116.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10081.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10163.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10109.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10080.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10029.0,40.791585999999995,-73.94575,-5.0,1.0,"40.791586,-73.94575",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10044.0,40.762174,-73.94917,-5.0,1.0,"40.762174,-73.94917",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10010.0,40.739022,-73.98205,-5.0,1.0,"40.739022,-73.98205",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10119.0,40.750824,-73.99289,-5.0,1.0,"40.750824,-73.99289",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10122.0,40.751757,-73.992171,-5.0,1.0,"40.751757,-73.992171",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10114.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10131.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10011.0,40.741012,-74.00012,-5.0,1.0,"40.741012,-74.00012",New York
1,New York,New York,8405837,8175133,2.82,0 to 5,302.6,27012,40.6643,-73.9385,10203.0,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182",New York
