PopRank,City,State,Pop2013,Pop2010,Change%,ChangePercent,SqMi,PopPerSqMi,Latitude,Longitude
282,El Cajon,California,102211,99478,2.75,0 to 5,14.4,6892,32.8017,-116.9605
283,Davenport,Iowa,102157,99685,2.48,0 to 5,62.9,1584,41.5541,-90.604
284,Rialto,California,101910,99171,2.76,0 to 5,22.4,4437,34.1118,-117.3883
285,Edison,New Jersey,101450,99967,1.48,0 to 5,30.638,3339,40.504,-74.3494
286,Las Cruces,New Mexico,101324,97618,3.8,0 to 5,76.3,1279,32.3197,-106.7653
287,San Mateo,California,101128,97207,4.03,0 to 5,15.9,8014,37.5542,-122.3131
288,Lewisville,Texas,101074,95290,6.07,5 to 10,42.5,2618,33.0383,-97.0061
289,South Bend,Indiana,100886,101168,-0.28,-5 to 0,41.5,2440,41.6769,-86.269
290,Lakeland,Florida,100710,97422,3.38,0 to 5,74.4,1711,28.0411,-81.9589
291,Erie,Pennsylvania,100671,101786,-1.1,-5 to 0,19.1,5334,42.1166,-80.0735
292,Tyler,Texas,100223,96900,3.43,0 to 5,54.4,1782,32.35,-95.3
293,Pearland,Texas,100065,91252,9.66,5 to 10,47.5,1900,29.5544,-95.2958
294,College Station,Texas,100050,93857,6.6,5 to 10,49.6,1978,29.5544,-95.2958
